_id,description,manufacturer_name,product_availability,product_availability_local,product_categoryId,product_currency,product_model,product_name,product_price,product_price_currency_online,product_price_online,product_seria,product_sku,product_status,sourceCurrency,sourcePrice,Бренд,Высота,Гидромассаж,Длина,Материал,Монтаж,Опора,Ориентация,Особенности,Панель,Серия,Сифон,Смеситель,Тип поверхности,Тип управления,Форма,Цвет изделия,Ширина,Длина/высота (мм),Страна производитель,Цвет/тип покрытия,Глубина,Назначение,Диаметр (мм),Диаметр 2 (мм),Перелив,Подключение к канализации,Угол,Диаметр (дюймы),Диаметр 2 (дюймы),Диаметр 3 (мм),"Длина кронштейна (от стены), мм","Длина лейки верхнего душа, мм",Кол-во режимов верхнего душа,Кол-во режимов ручного душа,"Мин Высота, мм",Регулируемая высота стойки,Форма лейки верхнего душа,"Ширина лейки верхнего душа, мм","Высота, мм","Диаметр/Диагональ, мм",Мыльница,Способ переключения режимов,Тип держателя,Форма лейки ручного душа,Цвет диска ручного душа,Высота поддона,Наличие поддона,Наличие сифона,Расположение,Тип двери,Толщина стекла,Форма кабины,Цвет профиля,Цвет стекла,Тип слива,Тип сидения,Тип установки смесителя,Подвод воды,Безободковый,Комплектация,Материал сиденья,"Сиденье, крышка",Тип изделия,Тип слива бачка,Унитаз с функцией биде,Кол-во смесителей,Особенности формы,Отверстия под смеситель,Тип дверей,Конструкция,Длина излива,Кол-во отверстий,Кол-во потребителей,Повротный излив,Тип переключателя ванна/душ,Форма накладки,Высота излива,Наличие донного клапана,Положение регулятора,С полочкой,Высота смесителя,Вывод для фильтрованной в,Выдвижной излив,Тип излива,Тип поддона,Материал лейки,Давление (PN),Толщина стенки,Длина излива см,Тип товара
5e8f4b81f5714a2cd62f86ad,"Душевой шланг металлический 1250 мм, 1/2 x 1/2, усиленный (Longlife), усиленное исполнение, предел прочности 750 N, максимальное давление 10 бар.",GROHE,true,true,400010,EUR,28142000,Relexa Шланг для душаметалический 1250мм,22,UAH,649,RELEXA,012043,Акция,EUR,16.43,GROHE,,,,Металл,,,,,,RELEXA,,,,,,,,1 250,Германия,Хром,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e8f4b81f5714a2cd62f86ae,"Душевой шланг 1250 мм (серебро), 1/2х1/2, из пластика с гладкой поверхностью, повышенной гибкости, легко чистится, с защитой от залома, на обоих краях вращающийся конус (Anti-Twist)",GROHE,true,false,400010,EUR,28362000,Silverflex Душевой шланг 1250мм (серебро),14.88,UAH,439,Silverflex,012047,Акция,EUR,11.18,GROHE,,,,Полимер,,,,,,Silverflex,,,,,,,,1 250,Германия,Хром,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e8f4b81f5714a2cd62f86af,"Душевой шланг 1,50м, из пластика с гладкой поверхностью, повышенной гибкости, легко чистится, с защитой от залома, на обоих краях поворотный конус, 1/2 х 1/2",GROHE,true,false,400010,EUR,28364000,"Silverflex Душевой шланг 1,50м",17.93,UAH,529,Silverflex,012048,Акция,EUR,13.43,GROHE,,,,Полимер,,,,,,Silverflex,,,,,,,,1 500,Германия,Хром,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e8f4b81f5714a2cd62f86b0,"Накладная панель, для подвесного унитаза, круглая, 2 объема смыва или прерывание смыва старт/стоп для пневматического сливного клапан, вертикальный монтаж 156 x 197 мм,  хромированная поверхность. Технология совершенного потока при уменьшенном расходе воды",GROHE,true,false,20006,EUR,38505000,Skate Air Клавиша смыва,40.64,UAH,1199,SKATE,012051,Акция,EUR,28.43,GROHE,,,,Пластик,,,,,,SKATE,,,,Пневматический,Круглая,,156,197,Германия,Хром,,Для подвесного унитаза,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Двойной,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e8f4b81f5714a2cd62f86b1,"Звукоизоляционный комплект для унитаза, звукоизоляционная панель, 2 резиновые втулки",GROHE,true,true,200031,EUR,37131000,Grohe Звукоизоляционная прокладка для унитаза,2,UAH,59,GROHE,012089,Акция,EUR,1.43,GROHE,,,,,,,,,,GROHE,,,,,,,,,Германия,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e8f4b81f5714a2cd62f86b2,"Смеситель для ванны, однорычажныйДля скрытого монтажа, включает в себя: комплект готового монтажа, корпус встраиваемого смесителя, керамический картридж, хром, регулировка расхода воды, возможность установки мин. расхода 2,5 л/мин, автоматический переключатель: ванна/душ, металлический рычаг, отражатель из металла, винтовое крепление, дополнительный ограничитель температуры
Встраиваемая часть входит в комплект.",GROHE,false,true,400042,EUR,32879000,"Eurosmart Cosmopolitan Смеситель для ванны, однорычажный",98.27,UAH,2899,EUROSMART COSMOPOLITAN,012098,Акция,EUR,74.27,GROHE,,,,,Скрытый,,,,,EUROSMART COSMOPOLITAN,,,,Однорычажный,,Хром,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Внутренняя часть,,,,,,,,,,,0,1,2,Нет,Выжимной,Круглая,,,,,,,,,,,,,,
5e8f4b81f5714a2cd62f86b3,"Feel Смеситель для биде, однорычажный, керамический картридж, аэратор, регулировка расхода воды, хром",GROHE,false,true,400032,EUR,32558000,"Feel Смеситель для биде, однорычажный",134,EUR,134,Feel,012103,Распродажа,EUR,80.40,GROHE,,,,,,,,,,Feel,,,,Однорычажный,,Хром,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1,,,,,15,Да,,,,,,,,,,,,
5e8f4b81f5714a2cd62f86b4,"Feel Смеситель для душа, однорычажный, керамический картридж, отвод для душа со встроенным обратным клапаном, с защитой от обратного потока, регулировка расхода воды, хром",GROHE,true,false,400053,EUR,32270000,"Feel Смеситель для душа, однорычажный",80,EUR,80,Feel,012105,Распродажа,EUR,67,GROHE,,,,,,,,,,Feel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e8f4b81f5714a2cd62f86b5,Заглушки для душевой стойки декоративные,GROHE,true,false,400012,EUR,11482000,Movario Заглушки декоративные з/ч,19.5,UAH,575,MOVARIO,012193,,EUR,11.70,GROHE,,,,,,,,,,MOVARIO,,,,,,,,,Германия,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e8f4b81f5714a2cd62f86b6,"Рукоятка управления, хром.",GROHE,true,false,,EUR,46311000,ZEDRA-Запчасть  GROHE  46311000,25,EUR,25,ZEDRA,012196,Распродажа,EUR,15,GROHE,,,,,,,,,,ZEDRA,,,,,,,,,Германия,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
